

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.010  000.010: --- NVIM STARTING ---
001.086  001.076: locale set
001.803  000.717: inits 1
001.828  000.026: window checked
001.834  000.006: parsing arguments
002.159  000.325: expanding arguments
002.250  000.091: inits 2
003.023  000.773: init highlight
003.341  000.318: waiting for UI
006.390  003.049: done waiting for UI
006.436  000.046: initialized screen early for UI
009.682  000.914  000.914: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/syntax/syncolor.vim
009.893  001.683  000.769: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/syntax/synload.vim
021.456  011.363  011.363: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/filetype.vim
021.549  014.212  001.166: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/syntax/syntax.vim
021.813  000.034  000.034: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/filetype.vim
022.362  000.355  000.355: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/ftplugin.vim
023.273  000.688  000.688: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/indent.vim
023.509  000.028  000.028: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/filetype.vim
023.708  000.026  000.026: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/ftplugin.vim
028.287  003.413  003.413: sourcing /Users/liuguangqi/.config/nvim/autoload/plug.vim
038.573  002.281  002.281: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/ftoff.vim
042.353  000.370  000.370: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-prettier/ftdetect/css.vim
042.842  000.360  000.360: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-prettier/ftdetect/graphql.vim
043.120  000.147  000.147: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-prettier/ftdetect/html.vim
043.405  000.174  000.174: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-prettier/ftdetect/javascript.vim
043.873  000.341  000.341: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-prettier/ftdetect/json.vim
044.162  000.185  000.185: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-prettier/ftdetect/less.vim
044.410  000.147  000.147: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-prettier/ftdetect/lua.vim
044.671  000.160  000.160: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-prettier/ftdetect/markdown.vim
044.911  000.141  000.141: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-prettier/ftdetect/php.vim
045.151  000.142  000.142: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-prettier/ftdetect/ruby.vim
045.394  000.144  000.144: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-prettier/ftdetect/scss.vim
045.633  000.140  000.140: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-prettier/ftdetect/typescript.vim
045.875  000.144  000.144: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-prettier/ftdetect/vue.vim
046.246  000.273  000.273: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-prettier/ftdetect/xml.vim
046.642  000.292  000.292: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-prettier/ftdetect/yaml.vim
051.663  000.021  000.021: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-polyglot/ftdetect/polyglot.vim
052.037  000.527  000.507: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-polyglot/filetype.vim
052.382  000.025  000.025: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/filetype.vim
053.048  000.027  000.027: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-polyglot/ftdetect/polyglot.vim
054.422  000.377  000.377: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-elixir/ftdetect/elixir.vim
055.677  000.326  000.326: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-fugitive/ftdetect/fugitive.vim
056.874  000.361  000.361: sourcing /Users/liuguangqi/.config/nvim/plugged/vaxe/ftdetect/flow.vim
057.508  000.534  000.534: sourcing /Users/liuguangqi/.config/nvim/plugged/vaxe/ftdetect/haxe.vim
057.993  000.372  000.372: sourcing /Users/liuguangqi/.config/nvim/plugged/vaxe/ftdetect/hss.vim
058.495  000.361  000.361: sourcing /Users/liuguangqi/.config/nvim/plugged/vaxe/ftdetect/hxml.vim
058.758  000.167  000.167: sourcing /Users/liuguangqi/.config/nvim/plugged/vaxe/ftdetect/lime.vim
059.021  000.167  000.167: sourcing /Users/liuguangqi/.config/nvim/plugged/vaxe/ftdetect/nmml.vim
060.106  000.326  000.326: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-bolt/ftdetect/bolt.vim
060.883  000.298  000.298: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-markdown/ftdetect/markdown.vim
061.975  000.330  000.330: sourcing /Users/liuguangqi/.config/nvim/plugged/rust.vim/ftdetect/rust.vim
062.983  000.382  000.382: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-toml/ftdetect/toml.vim
064.026  000.388  000.388: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-glsl/ftdetect/glsl.vim
064.932  000.318  000.318: sourcing /Users/liuguangqi/.config/nvim/plugged/neosnippet.vim/ftdetect/neosnippet.vim
065.850  000.287  000.287: sourcing /Users/liuguangqi/.config/nvim/plugged/yats.vim/ftdetect/typescript.vim
066.246  000.313  000.313: sourcing /Users/liuguangqi/.config/nvim/plugged/yats.vim/ftdetect/typescriptreact.vim
086.707  036.112  030.227: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-polyglot/ftdetect/polyglot.vim
087.136  037.216  001.104: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-polyglot/filetype.vim
087.726  000.097  000.097: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/filetype.vim
088.289  000.029  000.029: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/ftplugin.vim
088.759  000.025  000.025: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/indent.vim
090.971  000.243  000.243: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/syntax/syncolor.vim
092.373  000.218  000.218: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/syntax/syncolor.vim
093.691  000.630  000.630: sourcing /Users/liuguangqi/.config/nvim/plugged/onedark.vim/autoload/onedark.vim
